timestamp_sec,drone_x,drone_y,drone_z,drone_vx,drone_vy,drone_vz,drone_heading,drone_roll_deg,drone_pitch_deg,drone_yaw_deg,drone_armed,drone_nav_state,target_x,target_y,target_z,bbox_area,bbox_confidence,boundary_violation,rover_x,rover_y,rover_z,rover_yaw_deg,rover_cmd_linear_x,rover_cmd_angular_z,wheel_1_pos,wheel_2_pos,wheel_3_pos,wheel_4_pos,distance_3d,distance_horizontal,relative_x,relative_y,relative_z
1759474874.6151822,74.00859832763672,76.21914672851562,-4.98126220703125,-0.00017229275545105338,0.0018412253120914102,-0.007960008457303047,1.9202994108200073,0.34497573323310055,0.13581230232817074,110.022398287166,1,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.35527221355632,106.23855681646126,74.00859832763672,76.21914672851562,-4.98126220703125
1759474875.6151164,73.96578216552734,76.20996856689453,-4.99090576171875,-0.0024162677582353354,0.0035282426979392767,-0.0010692692594602704,1.919479489326477,0.21069264561635145,-0.03915859813808456,109.97710828859083,1,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.3193556256228,106.20214800240763,73.96578216552734,76.20996856689453,-4.99090576171875
1759474876.6150732,73.9267578125,76.20584106445312,-4.992156982421875,-0.008397353813052177,0.003937222994863987,-0.0006808795733377337,1.919479489326477,0.13943072518079389,0.14177482150638568,109.97541657682878,1,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.28930973689623,106.1720101204113,73.9267578125,76.20584106445312,-4.992156982421875
1759474877.6153178,73.90187072753906,76.18207550048828,-4.99151611328125,-0.0009324544807896018,0.0028257009107619524,-0.006545025855302811,1.9187449216842651,0.12495938927670366,0.13882160961000256,109.93940781849278,1,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.25493098064267,106.13762351113762,73.90187072753906,76.18207550048828,-4.99151611328125
1759474878.6150231,73.89034271240234,76.1618881225586,-4.996551513671875,-0.0028431001119315624,-0.0008583663729950786,0.00025479617761448026,1.9179911613464355,0.039809621487195614,0.049594189849266786,109.88986452697688,1,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.23267611981814,106.1151070703385,73.89034271240234,76.1618881225586,-4.996551513671875
1759474879.615098,73.88593292236328,76.1595230102539,-4.994781494140625,-0.005313062574714422,-0.008340157568454742,-0.006234530359506607,1.9184592962265015,-0.07645774038812034,-0.07918114760177043,109.91338305578147,1,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.22783002175828,106.11033893526756,73.88593292236328,76.1595230102539,-4.994781494140625
1759474880.615049,73.89974212646484,76.17729187011719,-4.99652099609375,0.0033630153629928827,-0.0059057013131678104,-0.003624241566285491,1.9190990924835205,-0.023330246358586035,-0.18401166902619853,109.9513651493472,1,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.25025602363239,106.13270788509556,73.89974212646484,76.17729187011719,-4.99652099609375
1759474881.61502,73.9201431274414,76.20700073242188,-4.992034912109375,0.001005060039460659,-0.008676663972437382,-0.0064779664389789104,1.919744610786438,-0.14594153720768382,-0.2922592723151267,109.98855746332976,1,14,-0.051562500000000004,1.1833333333333333,0.0,1334.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.28553491974573,106.16823687248824,73.9201431274414,76.20700073242188,-4.992034912109375
1759474882.6150205,73.93350219726562,76.25434112548828,-4.992645263671875,0.003909336868673563,-0.002332479925826192,-0.005071933846920729,1.9190458059310913,-0.06124259791975393,-0.2665406894020566,109.94532932214902,1,14,-0.046875,1.1916666666666667,0.0,1519.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.3288003993475,106.21152144487628,73.93350219726562,76.25434112548828,-4.992645263671875
1759474883.6152341,73.96204376220703,76.25152587890625,-4.93280029296875,0.10207084566354752,-0.2584504187107086,0.2463049292564392,1.916933298110962,0.018802527910260405,5.437490683991301,109.83218899551164,1,14,-0.0421875,1.2416666666666667,0.0,1334.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.34383684574509,106.22937030945884,73.96204376220703,76.25152587890625,-4.93280029296875
1759474884.615052,74.0758285522461,75.99313354492188,-4.570037841796875,0.12405668944120407,-0.3190975487232208,0.4307415783405304,1.91596519947052,0.18624838610871933,1.8248372952924774,109.77672269922049,1,14,-0.037500000000000006,1.0416666666666665,0.0,1519.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.22179610397079,106.12344096229677,74.0758285522461,75.99313354492188,-4.570037841796875
1759474885.615144,74.15068054199219,75.76123809814453,-4.143463134765625,0.07872874289751053,-0.20939308404922485,0.4218828082084656,1.9119740724563599,0.2915270789865271,1.037191203301156,109.54804627795336,1,14,-0.032812499999999994,0.95,0.0,1232.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.09079559393211,106.00985153750723,74.15068054199219,75.76123809814453,-4.143463134765625
1759474886.6151438,74.17733001708984,75.5833969116211,-3.733184814453125,0.062632255256176,-0.17907428741455078,0.38784825801849365,1.9114924669265747,0.2337970230629152,1.455775595833176,109.52045224309987,1,14,-0.037500000000000006,0.8666666666666666,0.0,1232.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.9672725232785,105.90149279950643,74.17733001708984,75.5833969116211,-3.733184814453125
