timestamp_sec,bbox_area,confidence,boundary_violation
1759474569.4619794,918.0,1.0,1.0
1759474569.5569265,918.0,1.0,1.0
1759474569.6551573,918.0,1.0,1.0
1759474569.7705383,918.0,1.0,1.0
1759474569.869237,918.0,1.0,1.0
1759474569.9579618,918.0,1.0,1.0
1759474570.0589395,918.0,1.0,1.0
1759474570.1616156,918.0,1.0,1.0
1759474570.2641547,918.0,1.0,1.0
1759474570.3636632,980.0,1.0,1.0
1759474570.4698493,918.0,1.0,1.0
1759474570.5581293,918.0,1.0,1.0
1759474570.6583197,918.0,1.0,1.0
1759474570.763486,918.0,1.0,1.0
1759474570.881686,918.0,1.0,1.0
1759474570.96412,918.0,1.0,1.0
1759474571.0685303,918.0,1.0,1.0
1759474571.1635516,918.0,1.0,1.0
1759474571.2595286,918.0,1.0,1.0
1759474571.360296,918.0,1.0,1.0
1759474571.4685228,918.0,1.0,1.0
1759474571.5698924,918.0,1.0,1.0
1759474571.6623733,918.0,1.0,1.0
1759474571.7740242,918.0,1.0,1.0
1759474571.8589783,918.0,1.0,1.0
1759474571.9733372,918.0,1.0,1.0
1759474572.0693157,918.0,1.0,1.0
1759474572.1604276,918.0,1.0,1.0
1759474572.263023,918.0,1.0,1.0
1759474572.3625853,918.0,1.0,1.0
1759474572.4628596,918.0,1.0,1.0
1759474572.553596,918.0,1.0,1.0
1759474572.6650386,918.0,1.0,1.0
1759474572.7616243,980.0,1.0,1.0
1759474572.863743,918.0,1.0,1.0
1759474572.9763207,918.0,1.0,1.0
1759474573.0684621,918.0,1.0,1.0
1759474573.1761234,918.0,1.0,1.0
1759474573.2585354,918.0,1.0,1.0
1759474573.3624697,918.0,1.0,1.0
1759474573.4659479,918.0,1.0,1.0
1759474573.5716624,918.0,1.0,1.0
1759474573.6690228,918.0,1.0,1.0
1759474573.780417,918.0,1.0,1.0
1759474573.8627303,918.0,1.0,1.0
1759474573.9608834,918.0,1.0,1.0
1759474574.0585556,918.0,1.0,1.0
1759474574.1621246,918.0,1.0,1.0
1759474574.2744508,918.0,1.0,1.0
1759474574.3728814,918.0,1.0,1.0
1759474574.4632504,918.0,1.0,1.0
1759474574.573371,918.0,1.0,1.0
1759474574.6625829,918.0,1.0,1.0
1759474574.775183,918.0,1.0,1.0
1759474574.8666914,918.0,1.0,1.0
1759474574.8754654,918.0,1.0,1.0
1759474574.9785438,918.0,1.0,1.0
1759474575.065726,918.0,1.0,1.0
1759474575.1830053,918.0,1.0,1.0
1759474575.2738285,918.0,1.0,1.0
1759474575.3794968,918.0,1.0,1.0
1759474575.464758,918.0,1.0,1.0
1759474575.5652268,918.0,1.0,1.0
1759474575.6609457,918.0,1.0,1.0
1759474575.7655694,918.0,1.0,1.0
1759474575.871008,918.0,1.0,1.0
1759474575.9771488,918.0,1.0,1.0
1759474576.0704973,918.0,1.0,1.0
1759474576.1697516,918.0,1.0,1.0
1759474576.2794476,918.0,1.0,1.0
1759474576.3661928,918.0,1.0,1.0
1759474576.4696598,918.0,1.0,1.0
1759474576.5843794,918.0,1.0,1.0
1759474576.6701994,918.0,1.0,1.0
1759474576.7695458,918.0,1.0,1.0
1759474576.881446,918.0,1.0,1.0
1759474576.9700363,918.0,1.0,1.0
1759474577.0667257,918.0,1.0,1.0
1759474577.1755657,918.0,1.0,1.0
1759474577.2668188,918.0,1.0,1.0
1759474577.3828974,918.0,1.0,1.0
1759474577.4700701,918.0,1.0,1.0
1759474577.5743816,918.0,1.0,1.0
1759474577.686158,918.0,1.0,1.0
