timestamp_sec,arming_state,nav_state,failsafe,system_type,system_id
1759474569.5279348,2,14,False,13,1
1759474570.031941,2,14,False,13,1
1759474570.5376225,2,14,False,13,1
1759474571.0413764,2,14,False,13,1
1759474571.5456853,2,14,False,13,1
1759474572.0499551,2,14,False,13,1
1759474572.5542011,2,14,False,13,1
1759474573.0590239,2,14,False,13,1
1759474573.5630672,2,14,False,13,1
1759474574.0665154,2,14,False,13,1
1759474574.5717585,2,14,False,13,1
1759474575.0755022,2,14,False,13,1
1759474575.5806704,2,14,False,13,1
1759474576.0859795,2,14,False,13,1
1759474576.5902588,2,14,False,13,1
1759474577.0952585,2,14,False,13,1
1759474577.5986164,2,14,False,13,1
1759474578.1031027,2,14,False,13,1
1759474578.6070209,2,14,False,13,1
1759474579.110675,2,14,False,13,1
1759474579.614523,2,14,False,13,1
1759474580.1186926,2,14,False,13,1
1759474580.623645,2,14,False,13,1
1759474581.1286423,2,14,False,13,1
1759474581.6324136,2,14,False,13,1
1759474582.1369746,2,14,False,13,1
1759474582.6402376,2,14,False,13,1
1759474583.1455128,2,14,False,13,1
1759474583.6508348,2,14,False,13,1
1759474584.156052,2,14,False,13,1
1759474584.6585577,2,14,False,13,1
1759474585.1622138,2,14,False,13,1
1759474585.6664383,2,14,False,13,1
1759474586.1707222,2,14,False,13,1
1759474586.675426,2,14,False,13,1
1759474587.180705,2,14,False,13,1
1759474587.6852891,2,14,False,13,1
1759474588.1893952,2,14,False,13,1
1759474588.6945016,2,14,False,13,1
1759474589.1985352,2,14,False,13,1
1759474589.7026725,2,14,False,13,1
1759474590.2064726,2,14,False,13,1
1759474590.710864,2,14,False,13,1
1759474591.216272,2,14,False,13,1
1759474591.719409,2,14,False,13,1
1759474592.224501,2,14,False,13,1
1759474592.7283185,2,14,False,13,1
1759474593.2324376,2,14,False,13,1
1759474593.7369413,2,14,False,13,1
1759474594.240618,2,14,False,13,1
1759474594.7442334,2,14,False,13,1
1759474595.2497392,2,14,False,13,1
1759474595.7545133,2,14,False,13,1
1759474596.2584906,2,14,False,13,1
1759474596.7627215,2,14,False,13,1
1759474597.2673416,2,14,False,13,1
1759474597.7724884,2,14,False,13,1
1759474598.2763157,2,14,False,13,1
1759474598.7805333,2,14,False,13,1
1759474599.284793,2,14,False,13,1
1759474599.7904944,2,14,False,13,1
1759474600.2931867,2,14,False,13,1
1759474600.7975595,2,14,False,13,1
1759474601.3025737,2,14,False,13,1
1759474601.807558,2,14,False,13,1
1759474602.3124936,2,14,False,13,1
1759474602.8151972,2,14,False,13,1
1759474603.3204865,2,14,False,13,1
1759474603.825578,2,14,False,13,1
1759474604.3286924,2,14,False,13,1
1759474604.833052,2,14,False,13,1
1759474605.3377156,2,14,False,13,1
1759474605.8424473,2,14,False,13,1
1759474606.3463871,2,14,False,13,1
1759474606.8521016,2,14,False,13,1
1759474607.3561256,2,14,False,13,1
1759474607.860468,2,14,False,13,1
1759474608.3646634,2,14,False,13,1
